run	V(vref)
1.000000000000000e+00	1.231311e+00
2.000000000000000e+00	1.221419e+00
3.000000000000000e+00	1.242641e+00
4.000000000000000e+00	1.206832e+00
5.000000000000000e+00	1.210665e+00
6.000000000000000e+00	1.212620e+00
7.000000000000000e+00	1.201248e+00
8.000000000000000e+00	1.232064e+00
9.000000000000000e+00	1.224130e+00
1.000000000000000e+01	1.215944e+00
1.100000000000000e+01	1.204760e+00
1.200000000000000e+01	1.186986e+00
1.300000000000000e+01	1.187613e+00
1.400000000000000e+01	1.222543e+00
1.500000000000000e+01	1.172878e+00
1.600000000000000e+01	1.171539e+00
1.700000000000000e+01	1.232421e+00
1.800000000000000e+01	1.204604e+00
1.900000000000000e+01	1.181832e+00
2.000000000000000e+01	1.207580e+00
2.100000000000000e+01	1.193110e+00
2.200000000000000e+01	1.211742e+00
2.300000000000000e+01	1.230256e+00
2.400000000000000e+01	1.219278e+00
2.500000000000000e+01	1.178060e+00
2.600000000000000e+01	1.254775e+00
2.700000000000000e+01	1.192566e+00
2.800000000000000e+01	1.241120e+00
2.900000000000000e+01	1.219208e+00
3.000000000000000e+01	1.223010e+00
3.100000000000000e+01	1.214803e+00
3.200000000000000e+01	1.207840e+00
3.300000000000000e+01	1.176416e+00
3.400000000000000e+01	1.209702e+00
3.500000000000000e+01	1.220956e+00
3.600000000000000e+01	1.181898e+00
3.700000000000000e+01	1.171154e+00
3.800000000000000e+01	1.230736e+00
3.900000000000000e+01	1.210144e+00
4.000000000000000e+01	1.216285e+00
4.100000000000000e+01	1.180007e+00
4.200000000000000e+01	1.170439e+00
4.300000000000000e+01	1.236505e+00
4.400000000000000e+01	1.221645e+00
4.500000000000000e+01	1.217035e+00
4.600000000000000e+01	1.205263e+00
4.700000000000000e+01	1.229508e+00
4.800000000000000e+01	1.201891e+00
4.900000000000000e+01	1.204569e+00
5.000000000000000e+01	1.180272e+00
5.100000000000000e+01	1.191755e+00
5.200000000000000e+01	1.200130e+00
5.300000000000000e+01	1.238908e+00
5.400000000000000e+01	1.242363e+00
5.500000000000000e+01	1.231562e+00
5.600000000000000e+01	1.164881e+00
5.700000000000000e+01	1.217331e+00
